date,Account,num_trades,daily_pnl,total_volume_usd,avg_trade_size,wins,losses,closed_trades_count,win_rate,long_short_ratio,sentiment_value,sentiment_class,frequency_segment,volume_segment
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,37,-146.57487000000003,1070090.51,10095.193490566038,15,17,32,0.46875,1.3043478260869565,52,Neutral,Frequent,Low Volume
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,266.58114600000005,103129.74,9375.43090909091,3,2,5,0.6,0.375,56,Greed,Frequent,Low Volume
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,33,1166.248788,54022.58,1125.4704166666668,14,12,26,0.5384615384615384,1.4,55,Greed,Frequent,Low Volume
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18,209.39217099999996,283856.41,7671.794864864864,9,6,15,0.6,1.6428571428571428,55,Greed,Frequent,Low Volume
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,29,-369.2447299999998,414518.93000000005,9211.531777777778,11,9,20,0.55,2.75,50,Neutral,Frequent,Low Volume
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,20,-2808.353815,965084.59,14192.42044117647,10,30,40,0.25,0.6585365853658537,48,Neutral,Frequent,Low Volume
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,-3093.6293849999997,66566.13,11094.355000000001,0,6,6,0.0,0.0,52,Neutral,Frequent,Low Volume
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,90.2,9255.8,4627.9,1,0,1,1.0,1.0,49,Neutral,Frequent,Low Volume
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,2517.41,839.1366666666667,0,0,0,,3.0,49,Neutral,Frequent,Low Volume
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,11,-2478.06972,18109.03,1646.2754545454545,0,11,11,0.0,0.0,54,Neutral,Infrequent,Low Volume
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,1.71544,2068.8599999999997,1034.4299999999998,1,0,1,1.0,1.0,55,Greed,Frequent,Low Volume
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,16,484.847102,412139.32,5724.157222222222,44,0,44,1.0,0.38461538461538464,55,Greed,Frequent,Low Volume
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,-173.65419100000003,401011.38,8183.905714285715,5,14,19,0.2631578947368421,1.3333333333333333,61,Greed,Frequent,Low Volume
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,134,-799.840817,6305647.13,7340.683504074505,231,205,436,0.5298165137614679,1.2082262210796915,60,Greed,Frequent,Low Volume
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,0.0,2008.18,334.69666666666666,0,0,0,,6.0,63,Greed,Frequent,Low Volume
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,20,456.423473,474278.43,11292.343571428572,13,8,21,0.6190476190476191,0.8260869565217391,63,Greed,Frequent,Low Volume
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,17,223.30918699999998,603820.0,10782.5,6,6,12,0.5,0.47368421052631576,60,Greed,Frequent,Low Volume
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,11,47.62389499999999,203187.53,5805.358,9,19,28,0.32142857142857145,1.1875,60,Greed,Frequent,Low Volume
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,22,-33.45419400000003,770198.26,10697.198055555556,14,18,32,0.4375,0.8461538461538461,60,Greed,Frequent,Low Volume
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,571,-215.615907,8047153.41,7396.280707720588,179,344,523,0.3422562141491396,0.9087719298245615,64,Greed,Frequent,Low Volume
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14,241.24212,6758.73,450.582,2,0,2,1.0,0.875,62,Greed,Frequent,Low Volume
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,770.756024,26051.12,2605.112,4,0,4,1.0,0.25,66,Greed,Frequent,Low Volume
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,23,983.443176,212311.82,6244.465294117647,7,0,7,1.0,2.090909090909091,71,Greed,Frequent,Low Volume
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,11,913.8817869999998,227247.69999999998,14202.981249999999,6,9,15,0.4,2.2,70,Greed,Frequent,Low Volume
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,13,559.44389,1999.99,142.85642857142858,14,0,14,1.0,0.0,79,Extreme Greed,Frequent,Low Volume
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,59,3639.3031690000003,218138.7,2478.8488636363636,79,1,80,0.9875,0.4426229508196721,74,Greed,Frequent,Low Volume
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9,191.29666400000002,102701.18,4465.268695652174,4,0,4,1.0,0.4375,74,Greed,Frequent,Low Volume
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,38,1024.70728,76437.88,1469.9592307692308,49,0,49,1.0,16.333333333333332,72,Greed,Frequent,Low Volume
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,816.0903969999999,108750.16,9886.378181818181,8,3,11,0.7272727272727273,0.375,72,Greed,Frequent,Low Volume
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,135,5491.768834,464143.87,2730.2580588235296,146,0,146,1.0,1.6153846153846154,72,Greed,Frequent,Low Volume
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,0.0,100752.64,8396.053333333333,0,0,0,,5.0,72,Greed,Frequent,Low Volume
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,41,1670.012358,202359.19,3161.86234375,54,0,54,1.0,0.6410256410256411,76,Extreme Greed,Frequent,Low Volume
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7,259.62944200000004,203758.88,6791.962666666667,7,4,11,0.6363636363636364,5.0,76,Extreme Greed,Frequent,Low Volume
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,97,477.6248299999999,157048.17,1619.0532989690723,61,7,68,0.8970588235294118,0.6440677966101694,72,Greed,Frequent,Low Volume
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,78,4325.827543,236374.11,2488.1485263157892,76,0,76,1.0,0.6666666666666666,75,Extreme Greed,Frequent,Low Volume
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,-8.05898,50003.09,8333.848333333333,1,2,3,0.3333333333333333,1.0,75,Extreme Greed,Frequent,Low Volume
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,29,3053.31353,117709.42,3363.1262857142856,27,1,28,0.9642857142857143,0.5909090909090909,72,Greed,Frequent,Low Volume
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,210.315294,1710.3,427.575,4,0,4,1.0,0.0,72,Greed,Frequent,Low Volume
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,16,1858.7985700000002,98041.92,4668.662857142857,15,0,15,1.0,0.4,78,Extreme Greed,Frequent,Low Volume
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,10005.6,10005.6,0,0,0,,1.0,78,Extreme Greed,Frequent,Low Volume
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,52,3894.1050699999996,368033.23,4279.456162790698,40,14,54,0.7407407407407407,0.6226415094339622,74,Greed,Frequent,Low Volume
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,5000.64,2500.32,0,0,0,,2.0,74,Greed,Frequent,Low Volume
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,138,1418.55293,111106.14,776.966013986014,137,1,138,0.9927536231884058,10.916666666666666,76,Extreme Greed,Frequent,Low Volume
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5,-30.7705,4480.13,896.0260000000001,0,2,2,0.0,0.6666666666666666,74,Greed,Frequent,Low Volume
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,27,4416.8473,191687.17,5180.734324324325,34,0,34,1.0,2.7,72,Greed,Frequent,Low Volume
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,499.96999999999997,249.98499999999999,0,0,0,,0.0,72,Greed,Frequent,Low Volume
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,54,312.130593,206785.98,3759.7450909090912,19,16,35,0.5428571428571428,1.5,79,Extreme Greed,Frequent,Low Volume
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,576.38114,2576.32,322.04,7,0,7,1.0,0.0,79,Extreme Greed,Frequent,Low Volume
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,42,2503.747235,171107.13,3802.380666666667,39,0,39,1.0,2.2142857142857144,82,Extreme Greed,Frequent,Low Volume
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,99,8493.192736,370839.64,3402.198532110092,97,0,97,1.0,1.2244897959183674,80,Extreme Greed,Frequent,Low Volume
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,1320.804256,24827.09,3546.727142857143,3,0,3,1.0,0.0,80,Extreme Greed,Frequent,Low Volume
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,130,8244.241409,472974.7,3452.370072992701,128,0,128,1.0,0.37,80,Extreme Greed,Frequent,Low Volume
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,13,1674.715167,60253.79,2510.5745833333335,21,0,21,1.0,7.0,80,Extreme Greed,Frequent,Low Volume
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,-1443.814567,2943.77,420.5385714285714,0,7,7,0.0,7.0,80,Extreme Greed,Frequent,Low Volume
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,72,8361.086245,390745.68,4946.1478481012655,54,0,54,1.0,0.8372093023255814,83,Extreme Greed,Frequent,Low Volume
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,238,26773.771643,1574220.16,5485.087665505226,253,4,257,0.9844357976653697,1.2777777777777777,82,Extreme Greed,Frequent,Low Volume
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,1026.004099,3776.71,290.5161538461538,13,0,13,1.0,0.0,82,Extreme Greed,Frequent,Low Volume
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,147,19791.026041,841810.32,4676.724,163,0,163,1.0,0.44,90,Extreme Greed,Frequent,Low Volume
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,76,6814.825139,327218.02,3990.4636585365856,72,0,72,1.0,1.4848484848484849,75,Extreme Greed,Frequent,Low Volume
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,67,4271.886236,183583.18,2740.047462686567,59,0,59,1.0,0.3958333333333333,81,Extreme Greed,Frequent,Low Volume
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,93,9949.501624,658178.75,5625.459401709401,97,10,107,0.9065420560747663,2.4411764705882355,84,Extreme Greed,Frequent,Low Volume
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,39,2482.9272,219973.85,5237.472619047619,29,9,38,0.7631578947368421,9.5,79,Extreme Greed,Frequent,Low Volume
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,41,3588.179495,176519.44999999998,4202.844047619047,39,0,39,1.0,0.4,82,Extreme Greed,Frequent,Low Volume
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8,3039.166,103040.85,12880.10625,7,0,7,1.0,0.14285714285714285,81,Extreme Greed,Frequent,Low Volume
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3,0.0,6000.799999999999,857.2571428571428,0,0,0,,7.0,81,Extreme Greed,Frequent,High Volume
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1,65.480454,6066.28,6066.28,1,0,1,1.0,0.0,88,Extreme Greed,Frequent,High Volume
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,17,3400.385378,199866.9,11756.876470588235,15,0,15,1.0,0.13333333333333333,88,Extreme Greed,Frequent,Low Volume
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7,338.42832,26339.81,3292.47625,1,0,1,1.0,7.0,83,Extreme Greed,Frequent,High Volume
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,32,5509.2545,249644.77,7132.707714285714,32,0,32,1.0,0.5909090909090909,83,Extreme Greed,Frequent,Low Volume
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7,388.830831,75909.83,3995.254210526316,8,0,8,1.0,0.46153846153846156,83,Extreme Greed,Frequent,Low Volume
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,6,228.57984,27223.66,4537.276666666667,1,0,1,1.0,5.0,81,Extreme Greed,Frequent,High Volume
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,10000.0,5000.0,0,0,0,,0.0,81,Extreme Greed,Frequent,Low Volume
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,8,429.683075,87063.35,6218.810714285714,4,0,4,1.0,2.5,79,Extreme Greed,Frequent,High Volume
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6,73.61088,4940.99,705.8557142857143,6,0,6,1.0,6.0,79,Extreme Greed,Frequent,Low Volume
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,7502.61,3751.305,0,0,0,,2.0,79,Extreme Greed,Frequent,Low Volume
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7,0.0,34001.9,2833.491666666667,0,0,0,,12.0,77,Extreme Greed,Frequent,High Volume
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,1244.6384,51241.71,8540.285,5,0,5,1.0,0.2,77,Extreme Greed,Frequent,Low Volume
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,212.3193,5214.47,5214.47,1,0,1,1.0,0.0,77,Extreme Greed,Frequent,Low Volume
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,0.0,9067.51,2266.8775,0,0,0,,4.0,79,Extreme Greed,Frequent,High Volume
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,10,842.799493,180988.91,18098.891,5,0,5,1.0,1.0,79,Extreme Greed,Frequent,Low Volume
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9,-174.00152,29828.420000000002,2982.842,0,2,2,0.0,4.0,79,Extreme Greed,Frequent,Low Volume
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,44,2593.147623,144362.44,2446.8210169491526,56,0,56,1.0,0.6388888888888888,74,Greed,Frequent,Low Volume
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,3829.986976,71343.41,7134.341,4,0,4,1.0,1.5,74,Greed,Frequent,Low Volume
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1,0.0,9744.18,9744.18,0,0,0,,1.0,78,Extreme Greed,Frequent,High Volume
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,23,2097.182,97908.18,4256.877391304348,22,0,22,1.0,22.0,78,Extreme Greed,Frequent,Low Volume
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,238.326075,10243.210000000001,2560.8025000000002,1,0,1,1.0,3.0,78,Extreme Greed,Frequent,Low Volume
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19,1297.018477,92592.20999999999,4873.274210526315,15,0,15,1.0,3.75,74,Greed,Frequent,Low Volume
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,1302.916428,57116.32,8159.4742857142855,6,0,6,1.0,0.0,75,Extreme Greed,Frequent,High Volume
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,5,20.599193,23986.34,3426.62,1,0,1,1.0,6.0,81,Extreme Greed,Frequent,High Volume
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,104,3195.3074,174578.85,1572.7824324324324,109,0,109,1.0,0.01834862385321101,81,Extreme Greed,Frequent,Low Volume
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,11,189.192,87066.1,3224.6703703703706,12,0,12,1.0,0.8,83,Extreme Greed,Frequent,High Volume
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,11,-38.78086,12798.689999999999,1163.5172727272727,0,7,7,0.0,1.75,83,Extreme Greed,Frequent,Low Volume
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1,0.0,20013.89,6671.296666666666,0,0,0,,3.0,80,Extreme Greed,Frequent,High Volume
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,10,227.85100799999998,15309.83,1530.983,9,0,9,1.0,9.0,80,Extreme Greed,Frequent,Low Volume
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7,883.097404,86914.37,5794.291333333333,6,0,6,1.0,1.5,79,Extreme Greed,Frequent,High Volume
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,43,1100.57514,101103.92,2246.753777777778,44,0,44,1.0,0.022727272727272728,75,Extreme Greed,Frequent,Low Volume
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,912.786145,39912.96,3070.2276923076925,10,0,10,1.0,0.0,75,Extreme Greed,Frequent,High Volume
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,9,0.840939,134989.44,4654.808275862069,2,0,2,1.0,6.25,79,Extreme Greed,Frequent,High Volume
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,28,2507.122467,204481.03,4260.021458333334,40,1,41,0.975609756097561,0.17073170731707318,79,Extreme Greed,Frequent,Low Volume
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,11,883.760812,224664.62,6072.016756756757,12,0,12,1.0,0.1935483870967742,79,Extreme Greed,Frequent,High Volume
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,0.0,14999.89,3749.9725,0,0,0,,4.0,79,Extreme Greed,Frequent,Low Volume
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,126.7884,6887.91,3443.955,1,0,1,1.0,1.0,71,Greed,Frequent,Low Volume
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,9999.66,4999.83,0,0,0,,2.0,71,Greed,Frequent,Low Volume
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,95987.73,2999.6165625,0,0,0,,0.0,70,Greed,Frequent,High Volume
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,4444.4983010000005,172531.56999999998,17253.157,7,0,7,1.0,10.0,79,Extreme Greed,Frequent,High Volume
